device_id,device_type,os,brand,screen_size_inch,supports_hd
134,Mobile,macOS,HP,25.5,False
135,Tablet,Windows,HP,59.7,False
136,Laptop,Linux,LG,40.7,False
137,Smart TV,iOS,Dell,63.6,False
138,Smart TV,Android,Dell,55.8,True
139,Tablet,iOS,Sony,12.3,False
140,Tablet,Android,Sony,9.4,False
141,Smart TV,iOS,Samsung,38.8,True
142,Mobile,Linux,Sony,10.6,True
143,Tablet,Windows,Samsung,61.5,True
144,Laptop,Android,Sony,63.1,True
145,Smart TV,Android,HP,58.4,True
146,Tablet,macOS,LG,49.7,True
147,Smart TV,macOS,HP,57.7,True
148,Laptop,Linux,Sony,42.3,False
149,Mobile,iOS,Samsung,19.0,False
150,Tablet,macOS,HP,31.5,True
151,Mobile,Android,HP,25.4,True
152,Laptop,iOS,Sony,57.8,True
153,Mobile,macOS,Dell,5.8,False
154,Smart TV,macOS,Dell,38.6,False
155,Mobile,Linux,Dell,24.0,False
156,Mobile,iOS,Samsung,51.2,False
157,Smart TV,Windows,Sony,7.6,False
158,Laptop,iOS,Dell,47.7,True
159,Laptop,macOS,Samsung,7.2,False
160,Smart TV,Android,Sony,64.9,False
161,Laptop,Linux,Apple,41.6,False
162,Smart TV,macOS,LG,58.8,False
163,Laptop,Windows,HP,24.5,True
164,Tablet,Windows,LG,32.7,True
165,Laptop,Linux,Samsung,60.0,True
166,Mobile,Linux,Sony,41.9,True
167,Mobile,macOS,Apple,39.5,True
168,Tablet,Android,Dell,54.0,True
169,Mobile,iOS,Sony,44.6,True
170,Mobile,iOS,Dell,43.4,False
171,Smart TV,macOS,Samsung,40.3,True
172,Smart TV,iOS,HP,43.0,False
173,Smart TV,macOS,LG,17.3,False
174,Laptop,macOS,LG,53.3,False
175,Tablet,macOS,LG,56.9,False
176,Smart TV,iOS,Apple,11.2,True
177,Laptop,Android,Samsung,17.5,False
178,Smart TV,Linux,LG,20.1,True
179,Mobile,iOS,HP,19.4,True
180,Smart TV,Linux,Apple,9.7,False
181,Tablet,Linux,Sony,36.2,True
182,Laptop,Linux,HP,8.5,True
183,Laptop,Windows,Dell,44.3,False
184,Mobile,iOS,HP,19.8,False
185,Laptop,macOS,Dell,46.9,False
186,Laptop,macOS,Sony,12.0,True
187,Mobile,Windows,Dell,17.9,True
188,Mobile,Windows,Sony,37.8,True
189,Mobile,Linux,LG,50.6,True
190,Mobile,iOS,Sony,29.8,True
191,Mobile,macOS,Dell,58.4,True
192,Smart TV,Windows,HP,42.6,False
193,Smart TV,macOS,Apple,53.2,False
194,Smart TV,Linux,Dell,8.8,True
195,Tablet,Android,Samsung,43.5,True
196,Smart TV,iOS,HP,43.1,False
197,Smart TV,Windows,Samsung,31.2,True
198,Tablet,macOS,Samsung,51.7,True
199,Mobile,Windows,LG,25.6,True
200,Laptop,Linux,LG,35.4,False
201,Laptop,Windows,Dell,65.0,False
202,Smart TV,iOS,Apple,51.1,True
203,Laptop,macOS,HP,22.1,False
204,Laptop,Windows,Sony,10.5,False
205,Smart TV,Linux,HP,28.2,True
206,Tablet,Windows,Apple,18.0,True
207,Mobile,Linux,LG,30.6,False
208,Mobile,Android,Dell,57.0,False
209,Mobile,iOS,Samsung,63.2,True
210,Tablet,macOS,Apple,49.1,False
211,Smart TV,Linux,Sony,47.6,False
212,Laptop,macOS,Sony,31.6,True
213,Tablet,macOS,Dell,18.9,True
214,Smart TV,Android,Samsung,25.4,True
215,Laptop,Windows,LG,8.2,True
216,Smart TV,Android,Sony,17.6,True
217,Mobile,iOS,Dell,39.5,True
218,Tablet,Android,Dell,28.4,True
219,Mobile,Android,HP,64.8,False
220,Mobile,Linux,Dell,32.4,True
221,Laptop,macOS,Dell,53.7,False
222,Mobile,Linux,Samsung,5.8,False
223,Mobile,Windows,HP,20.5,True
224,Laptop,Android,HP,5.5,False
225,Mobile,Android,Samsung,61.0,True
226,Mobile,Windows,Apple,11.1,False
227,Smart TV,Windows,Samsung,7.4,True
228,Smart TV,Linux,Apple,41.4,False
229,Smart TV,Windows,LG,34.1,False
230,Tablet,macOS,Samsung,48.6,False
231,Smart TV,Linux,Apple,18.8,True
232,Smart TV,Windows,LG,44.5,False
233,Laptop,iOS,Apple,27.7,True
234,Smart TV,Linux,Apple,11.2,True
235,Tablet,iOS,Apple,31.8,False
236,Mobile,Windows,Samsung,63.4,False
237,Smart TV,Windows,LG,47.9,False
238,Mobile,Windows,Samsung,39.8,False
239,Tablet,Android,LG,60.4,True
240,Smart TV,iOS,Sony,27.0,False
241,Tablet,iOS,Sony,9.4,True
242,Smart TV,Windows,Apple,42.2,True
243,Laptop,Android,LG,53.2,False
244,Tablet,macOS,LG,62.5,True
245,Laptop,Linux,Sony,59.9,True
246,Smart TV,iOS,HP,11.3,False
247,Tablet,Android,Apple,11.1,False
248,Laptop,iOS,Sony,28.5,False
249,Laptop,iOS,Dell,18.8,True
250,Smart TV,iOS,Sony,52.8,True
251,Laptop,macOS,LG,52.1,True
252,Smart TV,iOS,HP,19.9,False
253,Mobile,macOS,LG,58.8,False
254,Laptop,Linux,LG,29.0,True
255,Laptop,Windows,Dell,23.5,False
256,Laptop,Windows,Dell,56.0,True
257,Tablet,Windows,Sony,53.2,False
258,Tablet,Windows,Sony,57.2,True
259,Mobile,Linux,Samsung,27.3,True
260,Mobile,Windows,Dell,46.9,False
261,Mobile,Android,Dell,48.1,False
262,Smart TV,Windows,HP,18.6,True
263,Tablet,Windows,HP,62.3,False
264,Smart TV,Linux,Dell,54.3,True
265,Laptop,Windows,Dell,49.3,True
266,Smart TV,Linux,Apple,27.0,True
267,Laptop,Windows,Apple,33.2,False
268,Mobile,Android,HP,54.2,True
269,Mobile,Windows,LG,64.2,False
270,Laptop,Linux,Apple,18.5,False
271,Tablet,Windows,HP,44.2,False
272,Laptop,macOS,Samsung,30.6,False
273,Smart TV,Linux,Apple,53.2,True
274,Mobile,Android,Apple,15.5,True
275,Tablet,iOS,HP,29.9,True
276,Laptop,Linux,Sony,56.6,True
277,Tablet,Linux,LG,59.8,False
278,Mobile,Windows,Samsung,5.8,False
279,Smart TV,iOS,Samsung,39.1,True
280,Mobile,Linux,LG,43.8,True
281,Smart TV,Linux,Samsung,51.7,True
282,Laptop,Linux,Apple,25.9,True
283,Smart TV,Android,Dell,6.6,True
284,Tablet,iOS,Apple,58.3,False
285,Laptop,Linux,HP,32.8,True
286,Laptop,Android,LG,9.8,False
287,Tablet,Windows,HP,20.8,True
288,Tablet,macOS,Samsung,59.3,False
289,Laptop,macOS,Apple,54.5,False
290,Laptop,Linux,Samsung,22.3,False
291,Tablet,iOS,LG,41.7,False
292,Smart TV,Windows,Dell,38.1,False
293,Mobile,iOS,Samsung,53.7,False
294,Laptop,Windows,Samsung,8.4,False
295,Mobile,Linux,Dell,22.4,False
296,Laptop,Android,Apple,16.6,True
297,Mobile,Linux,Samsung,36.2,False
298,Tablet,macOS,Samsung,19.7,False
299,Laptop,Android,Sony,31.6,False
300,Laptop,macOS,HP,34.4,True
301,Smart TV,Linux,LG,58.9,False
302,Smart TV,iOS,Samsung,26.4,True
303,Laptop,macOS,Samsung,35.5,True
304,Smart TV,macOS,Samsung,31.1,True
305,Smart TV,Windows,Dell,56.0,True
306,Laptop,Windows,LG,16.3,True
307,Laptop,Linux,Sony,17.4,True
308,Laptop,iOS,HP,38.1,True
309,Smart TV,macOS,Sony,60.1,True
310,Smart TV,Windows,Dell,54.3,True
311,Smart TV,macOS,Apple,5.2,True
312,Tablet,Android,Samsung,30.6,True
313,Mobile,Android,Samsung,54.3,True
314,Tablet,Windows,Samsung,32.2,True
315,Laptop,Android,Apple,7.2,False
316,Laptop,macOS,Dell,45.5,False
317,Tablet,macOS,LG,41.5,True
318,Mobile,iOS,Samsung,17.9,True
319,Smart TV,macOS,Samsung,11.1,True
320,Laptop,iOS,Samsung,43.4,False
321,Tablet,iOS,Dell,47.5,False
322,Smart TV,Android,Apple,24.9,False
323,Laptop,Windows,Dell,58.6,True
324,Tablet,Windows,LG,20.6,True
325,Smart TV,iOS,Sony,56.7,True
326,Mobile,Android,LG,52.2,False
327,Smart TV,macOS,HP,20.3,False
328,Tablet,iOS,Sony,34.1,True
329,Laptop,Android,Dell,53.3,False
330,Tablet,Linux,LG,14.6,True
331,Smart TV,Android,Sony,37.6,True
332,Laptop,Linux,LG,6.5,False
333,Smart TV,Windows,Sony,52.1,True
334,Tablet,macOS,HP,23.9,True
335,Smart TV,Windows,LG,26.4,False
336,Laptop,macOS,Dell,40.2,False
337,Laptop,Android,Dell,57.0,True
338,Laptop,macOS,Sony,13.4,True
339,Mobile,iOS,LG,35.3,False
340,Tablet,Windows,HP,48.5,True
341,Tablet,Windows,Apple,50.4,True
342,Laptop,Linux,Samsung,60.4,False
343,Mobile,Linux,Dell,26.8,False
344,Smart TV,macOS,Sony,58.5,True
345,Mobile,Android,LG,47.5,False
346,Mobile,macOS,Samsung,17.8,False
347,Smart TV,Android,Dell,32.0,False
348,Smart TV,iOS,Sony,33.2,False
349,Tablet,iOS,Apple,58.2,False
350,Laptop,Linux,Apple,41.3,False
351,Tablet,Windows,Samsung,63.1,True
352,Smart TV,iOS,Sony,13.9,False
353,Smart TV,macOS,Sony,31.2,True
354,Laptop,iOS,Apple,58.3,True
355,Laptop,iOS,Dell,36.6,False
356,Laptop,Windows,LG,50.8,False
357,Tablet,Windows,LG,36.1,False
358,Smart TV,Linux,Sony,47.8,True
359,Mobile,Windows,Dell,23.6,True
360,Tablet,macOS,HP,59.8,False
361,Laptop,Linux,Sony,40.2,True
362,Tablet,Android,Apple,22.2,False
363,Tablet,iOS,Apple,46.9,True
364,Tablet,iOS,Dell,42.3,True
365,Laptop,Windows,LG,9.4,False
366,Laptop,Android,Sony,59.3,False
367,Tablet,Android,HP,34.5,False
368,Mobile,Android,Samsung,13.4,True
369,Smart TV,iOS,HP,29.5,False
370,Tablet,Windows,Sony,14.0,False
371,Laptop,Linux,LG,30.2,False
372,Tablet,Android,Samsung,9.2,False
373,Mobile,Windows,Dell,30.2,True
374,Mobile,macOS,Sony,5.9,False
375,Tablet,Linux,Dell,31.6,True
376,Laptop,Android,Apple,18.2,True
377,Tablet,Linux,Dell,16.8,True
378,Mobile,Linux,Apple,10.8,True
379,Tablet,Linux,Sony,63.1,False
380,Smart TV,macOS,HP,18.0,False
381,Tablet,iOS,LG,19.4,False
382,Smart TV,Android,HP,14.4,True
383,Mobile,Android,Samsung,32.0,True
384,Mobile,iOS,Sony,10.0,True
385,Smart TV,Windows,LG,13.6,False
386,Laptop,macOS,Samsung,16.1,True
387,Smart TV,Windows,Dell,14.8,True
388,Smart TV,macOS,Sony,50.8,True
389,Mobile,Windows,LG,26.3,False
390,Smart TV,macOS,LG,42.4,False
391,Tablet,Linux,Sony,18.7,False
392,Tablet,Linux,Sony,14.2,True
393,Tablet,Linux,Samsung,53.1,True
394,Laptop,macOS,LG,24.5,True
395,Mobile,Android,HP,49.9,False
396,Smart TV,iOS,Apple,51.7,False
397,Smart TV,macOS,Apple,31.1,False
398,Laptop,iOS,LG,51.6,False
399,Laptop,Android,Apple,51.4,False
400,Mobile,macOS,HP,37.1,False
401,Laptop,Windows,HP,19.9,False
402,Laptop,Windows,Apple,10.6,True
403,Tablet,macOS,Samsung,60.0,True
404,Mobile,Linux,LG,20.0,False
405,Tablet,macOS,HP,43.4,False
406,Smart TV,Linux,Samsung,51.9,False
407,Tablet,Android,HP,47.5,True
408,Mobile,iOS,Apple,7.5,True
409,Tablet,Windows,LG,16.9,True
410,Laptop,Linux,Apple,45.9,False
411,Tablet,macOS,Sony,34.7,True
412,Smart TV,Linux,HP,34.8,False
413,Mobile,Linux,Apple,49.0,True
414,Laptop,Windows,Apple,64.4,False
415,Tablet,Android,Sony,49.6,True
416,Mobile,Linux,Apple,41.7,True
417,Smart TV,Linux,LG,50.7,True
418,Laptop,Windows,Dell,10.0,False
419,Smart TV,iOS,Dell,18.5,False
420,Mobile,Linux,Dell,55.3,False
421,Laptop,iOS,Dell,52.4,True
422,Laptop,Linux,HP,58.2,True
423,Laptop,macOS,Dell,16.9,True
424,Laptop,Windows,Apple,25.6,True
425,Tablet,Android,Dell,40.3,True
426,Mobile,iOS,LG,16.1,False
427,Laptop,iOS,LG,32.6,True
428,Tablet,Android,Samsung,39.5,False
429,Tablet,Linux,Samsung,25.3,False
430,Mobile,Linux,Dell,45.0,False
431,Smart TV,macOS,Samsung,22.4,False
432,Smart TV,Linux,HP,51.1,False
433,Mobile,Windows,Apple,7.6,False
434,Laptop,Linux,Apple,35.5,True
435,Laptop,Linux,HP,30.4,True
436,Tablet,Android,HP,54.7,False
437,Tablet,Android,Apple,37.0,False
438,Tablet,Windows,LG,44.8,True
439,Smart TV,macOS,HP,53.7,True
440,Tablet,macOS,Samsung,20.2,False
441,Smart TV,iOS,Apple,59.0,True
442,Laptop,iOS,Dell,46.6,True
443,Laptop,Linux,Apple,46.3,True
444,Mobile,Windows,Sony,40.6,False
445,Laptop,Linux,Dell,16.2,True
446,Laptop,Linux,HP,51.1,False
447,Laptop,Linux,Dell,59.2,True
448,Mobile,Windows,Samsung,17.2,True
449,Mobile,macOS,Samsung,37.9,True
450,Tablet,macOS,Dell,60.9,False
451,Mobile,macOS,Dell,46.7,True
452,Tablet,iOS,Sony,54.7,False
453,Laptop,macOS,Dell,41.9,True
454,Laptop,iOS,Apple,25.9,True
455,Tablet,Android,Apple,16.7,True
456,Laptop,iOS,Apple,55.6,True
457,Smart TV,Android,HP,34.0,True
458,Laptop,Windows,HP,15.5,True
459,Smart TV,Android,LG,55.6,True
460,Mobile,macOS,HP,30.8,False
461,Laptop,macOS,LG,29.5,False
462,Mobile,Android,LG,57.2,False
463,Mobile,Android,Dell,27.7,True
464,Laptop,Windows,LG,44.8,True
465,Smart TV,iOS,Dell,40.0,False
466,Laptop,Android,Apple,9.8,False
467,Laptop,macOS,Apple,13.2,False
468,Smart TV,Windows,Samsung,45.1,False
469,Tablet,Android,Apple,9.5,True
470,Tablet,macOS,HP,53.9,True
471,Smart TV,Android,LG,21.3,False
472,Mobile,Linux,Sony,32.3,False
473,Tablet,Windows,HP,46.1,True
474,Tablet,Android,Apple,57.6,True
475,Tablet,Linux,Samsung,37.9,True
476,Smart TV,macOS,HP,38.9,False
477,Laptop,macOS,LG,23.4,False
478,Mobile,iOS,Apple,45.6,False
479,Laptop,iOS,HP,12.9,True
480,Mobile,Linux,Dell,24.3,False
481,Smart TV,Linux,Dell,56.4,False
482,Smart TV,Linux,Sony,45.9,False
483,Tablet,macOS,HP,27.8,False
484,Tablet,Windows,Sony,57.7,False
485,Laptop,macOS,HP,44.9,False
486,Laptop,Linux,Samsung,24.7,False
487,Mobile,iOS,Apple,53.2,True
488,Laptop,iOS,Dell,62.4,True
489,Laptop,Windows,Dell,40.7,False
490,Smart TV,Windows,Samsung,34.3,False
491,Mobile,Linux,LG,31.3,False
492,Smart TV,Android,Apple,25.7,True
493,Laptop,Linux,HP,43.1,True
494,Laptop,Android,Samsung,45.3,True
495,Laptop,macOS,Sony,17.9,True
496,Mobile,Android,LG,64.3,True
497,Tablet,iOS,Dell,16.9,False
498,Smart TV,Linux,Apple,51.2,False
499,Mobile,Windows,Apple,31.4,False
500,Tablet,Linux,Samsung,36.0,True
501,Mobile,Android,Samsung,12.1,False
502,Laptop,Linux,Sony,23.3,False
503,Tablet,Linux,HP,16.2,False
504,Mobile,macOS,Sony,57.9,False
505,Tablet,Android,Sony,45.5,True
506,Laptop,Windows,HP,18.7,True
507,Smart TV,iOS,Dell,36.1,False
508,Tablet,macOS,Samsung,34.3,True
509,Tablet,Windows,Dell,38.9,False
510,Tablet,Linux,Apple,19.8,True
511,Tablet,Linux,LG,14.4,False
512,Mobile,Android,Samsung,53.4,False
513,Smart TV,Windows,HP,22.3,False
514,Mobile,Linux,Sony,9.5,False
515,Smart TV,iOS,Sony,55.6,True
516,Tablet,iOS,Samsung,46.1,True
517,Smart TV,Windows,Sony,31.2,False
518,Mobile,Windows,Apple,51.9,True
519,Laptop,Linux,Apple,26.6,True
520,Mobile,Android,Dell,49.9,False
521,Laptop,iOS,Apple,6.1,False
522,Tablet,Android,LG,6.9,True
523,Mobile,Windows,Apple,44.4,False
524,Mobile,macOS,HP,36.6,False
525,Tablet,Windows,Apple,18.6,False
526,Tablet,macOS,LG,7.0,False
527,Mobile,Linux,LG,36.5,False
528,Smart TV,Android,LG,46.1,False
529,Smart TV,Android,Dell,63.1,False
530,Laptop,macOS,Dell,27.4,True
531,Smart TV,iOS,Dell,26.4,False
532,Smart TV,macOS,Apple,16.1,False
533,Tablet,Windows,HP,54.4,True
534,Mobile,Android,Apple,14.6,False
535,Laptop,macOS,HP,36.8,False
536,Mobile,Android,Apple,36.8,True
537,Smart TV,iOS,Dell,24.6,True
538,Tablet,Windows,Apple,63.0,False
539,Tablet,macOS,Apple,30.9,True
540,Smart TV,Windows,Sony,54.6,True
541,Tablet,iOS,Samsung,29.6,True
542,Laptop,Android,Dell,8.2,True
543,Smart TV,Windows,Samsung,19.2,True
544,Laptop,macOS,LG,41.8,True
545,Mobile,iOS,HP,5.3,True
546,Smart TV,macOS,Apple,33.5,True
547,Mobile,macOS,HP,45.0,False
548,Smart TV,Linux,LG,14.7,False
549,Smart TV,Android,Dell,26.6,True
550,Laptop,Android,Dell,62.3,False
551,Mobile,Windows,HP,16.3,True
552,Mobile,macOS,LG,31.2,True
553,Tablet,Windows,Sony,52.2,True
554,Mobile,Linux,LG,5.8,True
555,Laptop,Linux,Samsung,14.2,True
556,Smart TV,Windows,LG,27.9,True
557,Laptop,macOS,Sony,61.2,False
558,Laptop,Linux,Samsung,47.7,False
559,Smart TV,Linux,Sony,16.0,True
560,Smart TV,macOS,HP,50.2,True
561,Tablet,Windows,Apple,45.1,False
562,Mobile,iOS,HP,12.6,True
563,Mobile,Android,Apple,42.3,True
564,Laptop,Linux,HP,22.9,True
565,Mobile,iOS,LG,42.4,False
566,Smart TV,Linux,Samsung,62.4,True
567,Laptop,Linux,Apple,49.7,True
568,Laptop,Android,LG,31.1,False
569,Laptop,Windows,Apple,62.0,False
570,Mobile,Android,Sony,13.6,True
571,Tablet,iOS,Apple,46.7,True
572,Mobile,Android,Samsung,63.8,True
573,Laptop,macOS,LG,35.2,True
574,Tablet,Windows,Apple,57.9,False
575,Tablet,iOS,Apple,16.6,True
576,Tablet,iOS,Dell,40.3,True
577,Smart TV,iOS,Dell,42.0,True
578,Tablet,macOS,LG,15.9,False
579,Tablet,Linux,LG,46.3,False
580,Tablet,iOS,Dell,15.3,False
581,Smart TV,macOS,HP,42.4,False
582,Mobile,Linux,Apple,12.4,True
583,Smart TV,Android,LG,51.0,False
584,Tablet,Android,Sony,37.2,True
585,Mobile,iOS,HP,36.6,True
586,Mobile,Linux,Samsung,46.4,False
587,Smart TV,Android,Apple,27.3,True
588,Smart TV,Linux,Samsung,58.7,False
589,Tablet,iOS,LG,30.2,True
590,Mobile,Android,LG,54.8,False
591,Smart TV,macOS,Apple,22.4,True
592,Mobile,Android,Samsung,14.7,True
593,Smart TV,macOS,Samsung,24.9,False
594,Laptop,iOS,Apple,36.2,True
595,Mobile,Linux,Sony,6.6,False
596,Smart TV,macOS,Apple,49.2,False
597,Smart TV,Linux,Dell,14.6,True
598,Tablet,macOS,HP,11.1,False
599,Mobile,macOS,LG,37.5,False
600,Smart TV,iOS,HP,60.2,True
601,Mobile,iOS,Dell,16.9,False
602,Mobile,Linux,Apple,48.6,False
603,Laptop,Linux,HP,38.3,False
604,Smart TV,iOS,Sony,58.8,False
605,Laptop,Android,Dell,32.0,True
606,Tablet,Linux,Apple,7.5,False
607,Smart TV,macOS,Apple,39.0,False
608,Mobile,macOS,LG,43.6,True
609,Mobile,Linux,Sony,51.7,True
610,Laptop,Android,Samsung,40.5,True
611,Tablet,iOS,Dell,48.5,True
612,Smart TV,Windows,Sony,19.3,True
613,Laptop,Linux,Samsung,23.1,True
614,Tablet,Android,Dell,64.6,False
615,Smart TV,macOS,HP,46.5,True
616,Laptop,Android,Dell,44.1,True
617,Smart TV,iOS,Sony,43.9,False
618,Mobile,Linux,Apple,64.2,False
619,Smart TV,Android,LG,56.4,False
620,Tablet,iOS,HP,5.1,False
621,Laptop,iOS,HP,37.2,False
622,Mobile,Android,Sony,53.6,False
623,Tablet,Windows,Apple,55.6,False
624,Laptop,Linux,Samsung,29.0,True
625,Laptop,Linux,LG,62.5,True
626,Laptop,Windows,Samsung,14.5,True
627,Mobile,Windows,HP,39.0,False
628,Smart TV,iOS,Apple,31.4,False
629,Laptop,Windows,Apple,56.3,True
630,Laptop,iOS,Sony,56.3,False
631,Smart TV,Android,Sony,37.4,True
632,Smart TV,Windows,Sony,12.8,False
633,Smart TV,iOS,HP,50.6,True
634,Smart TV,macOS,HP,40.1,True
635,Smart TV,Linux,LG,30.5,True
636,Laptop,Linux,Dell,21.6,True
637,Tablet,Windows,Samsung,20.3,True
638,Mobile,macOS,Sony,7.9,True
639,Mobile,Linux,Apple,38.0,False
640,Laptop,macOS,Samsung,52.4,False
641,Tablet,macOS,Apple,31.8,False
642,Laptop,iOS,Dell,49.8,True
643,Laptop,Windows,LG,45.6,True
644,Mobile,Linux,LG,18.0,False
645,Laptop,Android,Sony,64.1,False
646,Mobile,Linux,HP,45.9,False
647,Mobile,Windows,Sony,9.4,True
648,Laptop,Linux,Apple,42.9,False
649,Laptop,macOS,Dell,12.4,False
650,Mobile,Android,Dell,18.2,False
651,Laptop,Windows,HP,17.7,True
652,Smart TV,Android,LG,51.3,True
653,Smart TV,Windows,Apple,33.0,False
654,Tablet,Android,HP,27.0,False
655,Smart TV,iOS,Apple,43.2,False
656,Tablet,Windows,Apple,6.1,True
657,Tablet,Android,Samsung,45.3,True
658,Smart TV,macOS,Apple,62.9,True
659,Laptop,macOS,Dell,31.4,False
660,Smart TV,Android,Sony,15.6,False
661,Laptop,iOS,Sony,49.1,False
662,Tablet,Android,Sony,52.5,True
663,Mobile,iOS,Samsung,32.8,False
664,Smart TV,Android,Samsung,31.2,True
665,Smart TV,Windows,Samsung,59.8,False
666,Laptop,Android,Sony,63.7,True
667,Laptop,Windows,Sony,53.8,False
