movie_id,title,genre,release_year,duration_mins,language,age_rating,avg_rating
115,Store street,Horror,1988,120,Japanese,G,3.26
116,Seek success,Horror,2009,149,Spanish,PG-13,1.67
117,Finally paper,Drama,1990,99,English,NC-17,1.1
118,Now left,Sci-Fi,2016,146,French,R,4.77
119,Himself make bring,Horror,1984,135,Japanese,PG,1.41
120,Successful blue,Sci-Fi,2023,136,Korean,G,4.18
121,Down soldier stuff,Action,2002,128,French,PG-13,1.28
122,Onto watch hope,Romance,1980,168,French,R,1.42
123,Arm worry,Romance,2020,174,Korean,R,3.83
124,Idea there,Thriller,1991,153,German,PG-13,3.46
125,Brother forget possible,Documentary,2009,115,Korean,NC-17,2.07
126,Professor couple scientist space,Horror,1985,95,French,PG,4.0
127,Series large seek,Thriller,2001,63,French,PG-13,1.73
128,Plant,Horror,2002,162,Spanish,PG-13,2.12
129,Rather student Mr,Sci-Fi,2015,61,German,PG,1.34
130,Style identify feeling,Thriller,2011,131,Korean,PG,3.76
131,Production forget study light,Documentary,2008,161,English,G,2.18
132,Level someone,Thriller,2024,91,Spanish,NC-17,2.48
133,Would,Romance,2007,155,German,PG-13,2.41
134,Him middle dog,Documentary,1997,99,Spanish,PG,1.48
135,Which bring,Horror,2000,75,Japanese,NC-17,4.8
136,Open white,Comedy,1992,87,Japanese,R,2.11
137,Line stay,Sci-Fi,1986,166,Hindi,PG-13,1.91
138,Read leave,Comedy,1999,61,Japanese,NC-17,1.51
139,Marriage they,Action,1983,130,Spanish,PG,3.55
140,Get effect,Documentary,1986,171,English,NC-17,2.14
141,Happen dog successful,Documentary,2008,103,Hindi,G,2.01
142,Effort for,Documentary,1987,165,English,R,2.97
143,Anyone knowledge human,Action,1989,79,Korean,NC-17,4.8
144,White public wind,Drama,1995,75,German,R,3.43
145,Occur,Horror,2013,108,French,R,2.19
146,Affect interest,Thriller,1999,132,German,G,3.44
147,Food know marriage,Drama,1993,140,Hindi,PG-13,3.64
148,Least enter another,Comedy,1995,82,German,G,1.63
149,Good why,Thriller,2008,148,German,R,2.17
150,Result word ten,Horror,1998,150,Spanish,R,1.28
151,Condition down,Horror,1996,160,Korean,NC-17,3.64
152,Finally century,Horror,2007,74,German,PG,3.59
153,Short property former,Sci-Fi,1989,69,English,PG,4.17
154,East style,Sci-Fi,2008,75,French,PG-13,3.8
155,Offer media,Sci-Fi,2012,129,French,R,1.32
156,Admit town television,Action,2007,154,Spanish,NC-17,2.0
157,Pressure partner,Drama,1994,146,Korean,NC-17,3.35
158,Share last program exist,Action,2023,165,Spanish,NC-17,1.16
159,Health,Comedy,2010,126,Japanese,R,4.66
160,Music book your,Comedy,2017,115,Japanese,R,4.88
161,Could people difficult,Documentary,2002,112,Spanish,PG-13,3.68
162,Wide commercial,Comedy,2001,112,Japanese,R,2.15
163,Should law,Thriller,2015,64,French,G,2.26
164,Then drop,Romance,1987,158,French,NC-17,4.3
165,Former,Action,2022,171,German,R,2.65
166,Charge owner kind,Horror,2013,106,German,R,3.5
167,Artist finally,Action,1993,94,German,PG,4.71
168,Miss,Documentary,2024,122,English,G,4.89
169,Should television,Horror,1990,99,German,G,3.21
170,Call,Drama,1994,167,English,R,4.79
171,Appear cell,Comedy,2011,179,Japanese,PG-13,3.04
172,Step official,Sci-Fi,2006,166,French,R,1.97
173,Exactly point green,Comedy,2004,84,German,NC-17,3.99
174,Thus out,Comedy,1984,95,Korean,R,2.36
175,Along section,Sci-Fi,1980,96,Japanese,PG-13,4.35
176,North instead number,Documentary,1989,117,German,R,2.38
177,Anything course,Thriller,2009,179,Spanish,PG,4.92
178,Too sound option,Horror,2016,109,Hindi,R,1.17
179,Item assume black,Documentary,2004,109,Japanese,PG,2.98
180,Different not,Action,1988,124,German,PG-13,4.48
181,Political blood,Documentary,1986,127,French,G,3.89
182,Significant so,Thriller,2021,79,English,R,4.13
183,Enjoy smile serve education,Sci-Fi,2001,139,Japanese,R,3.6
184,Bring the stage moment,Romance,2023,169,German,R,4.82
185,Risk available house,Documentary,2014,64,German,G,1.94
186,Open drive,Sci-Fi,1994,155,English,R,4.91
187,Air stand off,Drama,2008,81,Japanese,PG-13,4.61
188,Eight task peace ground,Action,2000,161,English,PG-13,2.43
189,Method,Thriller,1989,91,German,R,3.26
190,Eat the culture,Comedy,1990,82,English,NC-17,4.48
191,Wall impact reason,Horror,2011,176,German,PG,1.93
192,Poor relationship check,Sci-Fi,2009,92,Japanese,G,4.6
193,Summer,Documentary,1998,146,German,PG,1.3
194,Explain,Romance,2017,98,Japanese,R,3.76
195,Form process,Documentary,1999,85,French,R,1.43
196,Picture appear,Thriller,2016,105,German,PG-13,4.97
197,Effect trade rate ground,Sci-Fi,1981,166,Japanese,R,2.1
198,Sing of,Action,2018,155,French,PG-13,4.1
199,Establish court beautiful,Horror,2018,162,Spanish,PG,3.55
200,Body entire,Sci-Fi,2023,156,Japanese,PG,3.51
201,Offer stay head travel,Action,1999,160,French,G,3.32
202,Peace least,Comedy,1985,176,Spanish,PG-13,3.99
203,Suffer blood number,Comedy,1992,76,Korean,NC-17,4.51
204,Shake interest,Romance,2013,124,Spanish,PG,2.03
205,Make give stand,Documentary,1998,155,Korean,PG-13,4.22
206,Modern step,Documentary,1984,78,Korean,PG,4.44
207,Dog Democrat prepare,Thriller,2015,106,English,R,1.06
208,Economic across,Drama,2009,107,Japanese,PG-13,3.34
209,Hand account member,Romance,1986,146,Hindi,R,1.1
210,Play group,Romance,2019,88,Japanese,G,3.54
211,Require language second,Documentary,2024,98,Japanese,R,1.47
212,Pressure would great administration,Action,1982,98,French,G,1.39
213,Majority prepare her bag,Comedy,2004,118,Spanish,NC-17,2.68
214,Color prevent,Comedy,2006,143,English,R,3.46
215,Candidate,Sci-Fi,1982,148,Spanish,PG,2.77
216,Sister where their,Horror,2003,72,Japanese,PG-13,3.18
217,Baby close record,Romance,1983,110,Spanish,PG,4.87
218,Piece expect around paper,Documentary,1985,144,Hindi,NC-17,4.88
219,Itself song generation,Action,2001,91,Hindi,NC-17,1.82
220,Very people,Horror,2017,87,Korean,PG,2.31
221,Plan church,Comedy,2018,60,Spanish,PG,4.95
222,Know evidence,Sci-Fi,1991,74,Japanese,G,1.53
223,Join drive close national,Romance,1995,135,Spanish,G,1.7
224,Degree,Action,1988,154,French,NC-17,1.45
225,Wait little,Drama,2010,117,Korean,PG-13,3.05
226,This day,Drama,2008,124,Hindi,NC-17,1.17
227,Nearly best brother,Sci-Fi,2009,142,English,G,4.99
228,Institution rich exist,Thriller,2007,147,English,R,3.85
229,Exist magazine grow,Documentary,1984,175,English,PG-13,3.43
230,Weight garden,Drama,1988,95,German,NC-17,3.19
231,Ok gas,Romance,2004,136,German,PG-13,2.81
232,Arm discuss few,Thriller,1986,161,Japanese,G,4.41
233,Suddenly set white,Horror,2007,117,Hindi,R,2.36
234,However as,Documentary,2005,113,Japanese,G,2.25
235,Leader everybody method,Romance,2022,92,Spanish,PG,3.75
236,Really spend,Documentary,1984,71,Korean,G,1.37
237,Some,Drama,2003,163,Hindi,NC-17,1.24
238,Full,Romance,2022,75,French,PG-13,4.49
239,Firm apply happen,Thriller,1983,96,German,PG-13,2.41
240,Later term,Horror,1989,144,French,PG,4.39
241,Now bank,Romance,2015,107,English,PG-13,3.3
242,Soldier,Thriller,2015,158,Korean,NC-17,3.45
243,Feel approach,Action,2018,178,Japanese,PG-13,1.12
244,Hand certainly enjoy,Sci-Fi,2024,157,Spanish,PG-13,2.4
245,Skill color democratic,Comedy,1989,132,Japanese,R,1.28
246,Method method effect bed,Action,1985,155,German,PG,2.5
247,Particularly ok,Documentary,2001,80,Spanish,PG-13,3.89
248,Think company example,Drama,1983,79,Hindi,NC-17,1.2
249,Represent goal,Drama,1997,116,Japanese,R,2.94
250,Produce baby stage,Documentary,2006,94,Hindi,NC-17,1.46
251,Race political no it,Thriller,1987,96,Japanese,NC-17,2.95
252,Democrat all,Sci-Fi,1982,88,French,NC-17,1.22
253,Democratic establish police,Horror,1999,87,Korean,PG,4.06
254,Perhaps serious window,Sci-Fi,2000,75,English,R,3.99
255,Quite,Comedy,1988,108,German,PG,3.0
256,Entire road,Romance,1984,110,Korean,G,2.74
257,Natural beyond,Documentary,1984,170,Spanish,NC-17,2.72
258,Ok kitchen question,Thriller,2020,113,Spanish,G,2.62
259,Manager ahead half,Romance,1990,162,German,R,4.33
260,Body prevent,Romance,1985,115,Korean,G,1.97
261,Evidence floor standard,Thriller,2013,70,French,PG-13,3.98
262,Attack,Horror,2001,159,Hindi,G,3.04
263,Able mission end,Drama,2013,125,Hindi,PG-13,2.4
264,Try everyone place,Comedy,1995,73,Hindi,PG-13,1.79
265,Five address first,Comedy,2021,69,Hindi,R,2.86
266,Care,Documentary,2023,178,German,NC-17,2.29
267,Arm,Romance,1989,116,English,R,2.77
268,Role resource available trade,Sci-Fi,1997,135,English,PG-13,3.03
269,Ahead break,Sci-Fi,2009,117,English,G,2.47
270,Strategy as hard,Sci-Fi,1984,142,Korean,G,3.46
271,National shake face,Thriller,2009,134,German,G,2.8
272,Officer agent plan,Horror,2000,137,French,NC-17,1.6
273,Get on record,Action,2008,73,Korean,PG-13,4.93
274,Safe black,Drama,2012,142,Hindi,G,1.99
275,Front life lawyer,Documentary,2008,127,German,NC-17,1.63
276,End animal score,Romance,1998,109,French,PG-13,3.72
277,Probably value phone necessary,Action,2020,142,Spanish,G,2.32
278,Artist enough,Thriller,1998,92,Japanese,NC-17,4.49
279,Stuff free,Romance,1985,134,Japanese,PG,4.67
280,As near,Sci-Fi,2021,149,Japanese,R,1.52
281,Turn behavior,Drama,1999,131,French,PG-13,4.25
282,Send low,Drama,2021,145,French,NC-17,2.45
283,Decision,Romance,1999,83,Hindi,PG-13,4.79
284,Artist ground still,Documentary,1992,88,Hindi,PG,1.31
285,Camera claim player economy,Drama,2012,158,German,NC-17,1.15
286,Card bar look,Romance,2019,76,German,R,1.62
287,Economic network TV,Comedy,2024,158,German,PG,3.88
288,Kid audience also,Action,2006,106,Japanese,PG,4.88
289,Me soon,Sci-Fi,2008,89,German,PG,2.24
290,Explain she,Documentary,1992,107,Japanese,NC-17,4.94
291,Key floor,Documentary,1998,159,French,NC-17,3.11
292,What join customer,Comedy,1992,162,German,PG,4.49
293,Little western,Action,2021,121,Korean,PG-13,3.22
294,At different soon,Drama,2013,168,English,PG-13,1.34
295,Level manage,Comedy,1997,117,German,PG,4.32
296,Carry top,Drama,1994,164,French,PG-13,4.72
297,Ball window,Thriller,1983,110,German,PG-13,1.94
298,Fly billion research six,Drama,2003,88,English,PG-13,4.72
299,Group American present,Romance,1989,77,English,PG-13,4.67
300,Including together,Documentary,2024,166,Hindi,R,2.79
301,Stand,Action,1985,62,Spanish,PG,4.34
302,Try good,Thriller,1987,159,Spanish,PG,2.2
303,Reveal land age,Action,1995,113,Japanese,NC-17,2.83
304,Trip most gas,Drama,2011,136,German,G,3.53
305,Spend strong development,Horror,1989,97,French,G,3.46
306,Drug,Horror,2016,113,Hindi,G,3.09
307,Site student,Romance,1984,127,German,NC-17,4.15
308,Place quality,Action,2004,171,French,G,3.54
309,Threat view home,Romance,1996,155,English,PG-13,4.15
310,Person speak type,Romance,1995,153,Japanese,G,4.09
311,Receive truth,Romance,1988,65,Spanish,NC-17,2.35
312,Ten scene again,Comedy,2023,119,Japanese,R,3.53
313,Rock kind traditional,Comedy,1984,151,Korean,R,1.15
314,For everyone worry,Horror,1982,161,Hindi,G,2.26
315,Six spring,Sci-Fi,2012,110,Korean,NC-17,2.89
316,Attack cost end,Action,2021,84,Spanish,PG-13,4.45
317,Thing paper,Action,2021,102,Spanish,G,4.2
318,Factor strong myself,Thriller,2005,155,French,R,2.36
319,Matter life personal,Comedy,2011,148,French,PG-13,4.7
320,Wrong then four myself,Sci-Fi,1985,153,French,G,2.72
321,Push maybe within,Comedy,2014,97,Spanish,G,1.32
322,Evening particularly source,Sci-Fi,1999,117,German,R,1.67
323,Always who,Documentary,2002,117,English,PG-13,3.46
324,Debate perform respond then,Thriller,1997,141,Korean,G,1.3
325,How huge,Thriller,2003,125,Korean,PG,4.81
326,Near face TV,Comedy,2018,146,Korean,R,1.14
327,Group safe pass,Drama,1995,159,Japanese,PG-13,2.45
328,Change big,Action,2018,79,Japanese,R,4.8
329,Democratic inside lawyer,Romance,2008,157,English,NC-17,1.55
330,Move look yes,Romance,2005,100,Japanese,PG-13,2.0
331,Town culture truth operation,Drama,1981,154,Hindi,R,3.07
332,Information,Drama,1996,159,Spanish,R,1.86
333,Everyone treatment experience,Sci-Fi,2024,177,French,PG,1.49
334,Follow figure,Drama,2008,82,Japanese,R,4.99
335,Where spend,Romance,2022,104,Japanese,G,3.2
336,Study cell,Sci-Fi,1999,168,Hindi,PG,4.17
337,Present,Horror,1987,85,Korean,PG,1.95
338,Soon drop history,Documentary,1981,106,German,NC-17,2.48
339,Own identify,Comedy,2019,173,English,G,2.24
340,And place,Documentary,2013,112,Korean,R,4.29
341,Medical common,Drama,1988,100,Japanese,G,2.8
342,Majority part shoulder,Romance,1988,172,Korean,NC-17,3.56
343,Cost then,Comedy,1988,115,German,G,4.33
344,As,Comedy,1999,81,Hindi,PG-13,4.74
345,Behavior be region,Horror,2002,180,German,PG-13,4.38
346,Manager TV true,Sci-Fi,1992,141,German,PG-13,1.5
347,Likely item able friend,Sci-Fi,2019,128,English,NC-17,3.56
348,Once without affect,Comedy,1990,144,German,NC-17,2.35
349,School where,Action,1981,70,English,NC-17,2.06
350,Growth voice,Horror,2016,113,German,G,2.99
351,Evidence too character,Sci-Fi,2021,98,French,PG,4.22
352,Agent ok eat,Thriller,1999,118,English,G,1.63
353,Rest follow physical,Thriller,2010,119,Hindi,PG-13,3.43
354,Rate ability,Romance,2000,153,Korean,PG-13,4.9
355,Attack around machine,Comedy,2003,125,German,G,2.28
356,Former amount,Documentary,1987,94,French,PG,1.56
357,Trouble color,Action,1998,109,Korean,NC-17,2.67
358,Miss cup,Comedy,2000,179,German,PG-13,1.76
359,Character government,Comedy,2011,125,French,R,4.52
360,Food model gas,Documentary,1981,71,French,NC-17,2.83
361,Kind local food,Horror,1993,134,Spanish,G,1.2
362,Present church simple cell,Documentary,2018,172,Korean,R,2.14
363,Read become society,Action,1986,115,Hindi,PG-13,3.91
364,Someone its street,Thriller,2003,65,French,G,3.28
365,General Mrs,Horror,2003,130,Spanish,G,2.55
366,How sure everyone quality,Documentary,2015,95,Korean,NC-17,3.72
367,Figure laugh management,Drama,1988,72,French,PG-13,4.18
368,Worker,Romance,2015,180,Spanish,PG,1.8
369,Rise bad realize,Thriller,2012,65,English,G,1.55
370,Method security chair,Romance,2010,126,French,PG,3.43
371,Argue,Comedy,2000,179,German,PG-13,1.65
372,Marriage determine set,Sci-Fi,2017,103,German,NC-17,3.13
373,Recently thought family can,Sci-Fi,2010,164,English,PG-13,2.32
374,See admit,Drama,2006,134,Spanish,G,3.39
375,Seem action look,Sci-Fi,2021,160,Korean,NC-17,3.31
376,Explain full,Action,2017,121,Hindi,NC-17,3.52
377,Beautiful stage herself,Thriller,1989,165,Japanese,PG,1.13
378,Positive open,Drama,1992,62,French,PG-13,2.68
379,Play,Thriller,2024,86,French,NC-17,4.1
380,Site run,Documentary,1983,150,Hindi,NC-17,1.83
381,Individual official,Romance,2022,121,German,R,2.26
382,Protect and,Comedy,2009,176,German,PG-13,3.19
383,Over side idea central,Sci-Fi,2019,121,Hindi,PG,2.12
384,Themselves management mission,Sci-Fi,1994,180,Spanish,PG-13,3.82
385,Sell,Documentary,2000,121,Spanish,NC-17,4.73
386,Still,Sci-Fi,1998,75,German,NC-17,2.52
387,Child charge,Thriller,2002,158,Korean,PG,2.16
388,Too writer,Sci-Fi,1985,104,French,PG-13,3.99
389,Easy story sing,Horror,1992,165,German,PG-13,4.73
390,Political foreign,Sci-Fi,1988,73,German,NC-17,1.96
391,Street sure human,Action,2022,175,German,PG,3.55
392,Pay agree ground,Action,1986,112,Spanish,R,1.4
393,Expect allow if,Comedy,1980,130,Hindi,R,3.61
394,Last card meeting,Documentary,2010,143,Hindi,PG-13,2.28
395,Bill impact call,Action,1985,143,German,PG,3.14
396,Officer do performance,Action,1991,113,Korean,PG,4.74
397,Note not,Action,2005,160,French,PG,4.75
398,Whatever new because,Sci-Fi,1982,61,Spanish,NC-17,3.41
399,Owner section,Romance,1998,118,Japanese,NC-17,3.1
400,Remember perform body,Comedy,2012,119,Spanish,PG,4.24
401,Relationship let,Romance,1990,153,French,PG-13,3.87
402,Walk show in,Action,2001,161,Spanish,NC-17,3.7
403,Growth field,Horror,1991,138,Korean,R,4.31
404,Trouble late spend,Romance,1985,111,Japanese,G,1.74
405,Carry something,Comedy,2010,101,Hindi,G,2.04
406,Speech cell,Horror,2008,156,Spanish,PG-13,2.21
407,Remain attack,Action,1996,143,Spanish,PG,1.25
408,Operation on,Drama,2009,99,Hindi,R,3.74
409,Floor church,Sci-Fi,2024,75,Japanese,PG-13,2.47
410,Visit computer,Horror,1994,77,French,PG,2.82
411,Money marriage,Romance,2006,149,German,R,4.03
412,Example write,Horror,1995,147,Korean,NC-17,4.49
413,Song improve,Drama,2013,117,German,PG-13,1.31
414,Magazine use piece,Drama,1983,166,German,NC-17,1.81
415,Alone,Comedy,1990,101,Korean,NC-17,2.77
416,Commercial,Horror,2017,122,English,NC-17,2.78
417,Many society wife,Action,2009,76,German,R,2.83
418,Offer,Action,2015,119,Japanese,PG-13,3.89
419,Exactly,Thriller,1996,164,English,PG,3.31
420,New young small,Action,2007,104,Japanese,G,3.16
421,Information guy,Action,1984,179,French,G,2.15
422,Difference leg,Comedy,1988,158,Japanese,R,2.5
423,Resource particularly bed society,Thriller,2008,171,French,R,1.32
424,Data without worry,Comedy,2021,170,Spanish,G,1.71
425,Group enter pass,Thriller,2013,76,Japanese,PG,4.34
426,Finish around country,Action,1999,119,Japanese,NC-17,2.7
427,Land six,Thriller,1994,91,French,PG-13,1.62
428,Process health important,Horror,1987,64,Korean,R,3.46
429,Enjoy,Action,1995,86,English,G,3.38
430,May seek what,Documentary,2018,146,Japanese,G,1.98
431,Participant nothing,Action,2005,116,Hindi,NC-17,1.87
432,Yet town,Action,1988,124,Spanish,PG,4.26
433,Safe war century,Romance,2016,136,Korean,PG-13,1.95
434,Stop first,Comedy,2022,126,Hindi,R,2.2
435,Series organization,Action,2015,135,Japanese,PG,3.5
436,Total,Thriller,2015,123,English,PG-13,4.77
437,Table all,Thriller,2013,100,Japanese,R,2.63
438,Opportunity follow,Sci-Fi,2004,83,Korean,NC-17,2.89
439,Scene throughout yard,Horror,1999,169,Japanese,PG,4.22
440,Bit recognize apply,Action,2015,112,French,NC-17,3.12
441,Program question,Thriller,1995,92,Hindi,PG-13,3.59
442,Program,Documentary,2003,71,German,PG,1.21
443,Four trip increase,Thriller,2023,137,German,G,4.49
444,Foreign song,Horror,2017,152,Japanese,NC-17,1.87
445,Sort address event,Horror,2001,98,English,PG,4.75
446,Claim heavy behavior,Drama,2010,177,Hindi,NC-17,3.82
447,Of production network,Thriller,1995,130,Spanish,PG-13,2.52
448,Heart tell,Romance,1999,93,Spanish,NC-17,4.53
449,Production,Documentary,1986,162,Japanese,R,4.05
450,Whole between music,Romance,1993,107,Spanish,R,1.18
451,Great kitchen debate,Horror,1989,62,Spanish,NC-17,4.74
452,Method choose,Thriller,1998,79,Hindi,PG-13,1.92
453,Red under lose,Horror,2011,130,Japanese,PG-13,2.03
454,Blood should,Documentary,2021,154,French,R,1.67
455,Cost score prepare,Romance,1990,77,Japanese,NC-17,2.95
456,Role together,Action,2013,64,Korean,G,4.78
457,Century yes foreign,Action,1980,112,Hindi,PG,1.27
458,Down seven than,Comedy,1980,87,German,R,2.49
459,Same full draw,Documentary,2022,122,English,G,3.13
460,People yourself,Thriller,1980,62,German,PG-13,3.14
461,Already,Sci-Fi,1981,124,Korean,R,4.22
462,Nearly situation,Comedy,1986,177,English,NC-17,1.6
463,Medical who,Horror,2019,127,Spanish,PG-13,2.07
464,Note response fast,Thriller,1985,107,French,R,3.26
465,Piece successful decide modern,Horror,1999,147,Korean,G,3.61
466,Key,Action,1985,111,French,R,3.21
467,Realize most,Action,2020,61,Japanese,PG,1.33
468,Second great include,Thriller,2021,160,Spanish,NC-17,4.91
469,Military,Drama,2013,177,English,PG,1.85
470,Investment network,Documentary,1997,65,English,PG-13,4.6
471,Door food finally,Action,1991,178,Korean,PG-13,1.06
472,Ability seat,Horror,2017,78,Korean,R,4.72
473,Job,Sci-Fi,1990,132,Hindi,NC-17,4.34
474,Public cut exactly,Thriller,2023,174,German,PG-13,2.54
475,Get inside never,Comedy,2024,152,English,NC-17,3.98
476,Involve relate budget,Romance,1983,72,French,PG,4.35
477,Third he,Romance,2018,158,German,NC-17,2.59
478,List star,Romance,1981,141,Spanish,R,2.96
479,Black nor put,Romance,2015,180,French,R,1.74
480,Voice into edge,Thriller,1985,158,German,PG-13,4.19
481,It forget site,Drama,1985,94,Hindi,R,3.85
482,Real film,Comedy,2004,100,Spanish,G,1.37
483,May shoulder,Sci-Fi,2008,106,Korean,PG-13,1.41
484,Ago interest,Drama,1991,115,French,NC-17,3.22
485,Purpose social,Thriller,1986,63,English,PG-13,3.22
486,Show leave,Romance,2004,61,Spanish,R,2.55
