log_id,user_id,movie_id,device_id,watch_date,watch_duration,watch_time_slot,liked,rating_given,completed
166,18267,1968,2309,2024-09-28,13,Evening,Yes,5,False
167,26872,1359,2950,2024-10-24,20,Morning,Yes,4,False
168,23467,205,593,2024-09-14,30,Afternoon,Yes,1,False
169,35809,1696,171,2025-06-13,176,Morning,No,5,True
170,32887,1457,2222,2023-12-23,27,Afternoon,No,4,False
171,20691,1292,596,2023-11-26,44,Afternoon,No,5,False
172,26487,1154,2639,2024-06-13,45,Night,Yes,2,False
173,38538,901,419,2024-06-12,25,Night,No,2,False
174,39654,1815,2720,2024-12-19,108,Morning,Yes,2,True
175,9595,1121,1894,2023-10-21,79,Night,Yes,1,False
176,30765,1378,682,2024-03-03,118,Morning,No,1,True
177,5137,795,2128,2024-12-10,18,Morning,Yes,5,False
178,1041,1654,2780,2024-12-19,118,Night,No,1,True
179,7329,866,1989,2023-11-02,36,Morning,Yes,4,False
180,3109,1351,2437,2024-11-06,98,Evening,Yes,5,False
181,10614,1092,1481,2024-07-31,154,Evening,Yes,2,True
182,11721,1523,1877,2025-01-30,14,Evening,No,5,False
183,28688,1656,797,2024-08-29,70,Night,No,3,False
184,20482,590,907,2025-01-11,76,Morning,No,1,False
185,23942,1923,2992,2024-06-27,132,Evening,Yes,5,True
186,38053,492,2178,2024-06-05,110,Evening,No,3,True
187,8360,1789,1153,2024-04-12,142,Night,Yes,2,True
188,21029,1591,1087,2023-07-10,173,Afternoon,Yes,5,True
189,9874,350,375,2025-04-29,132,Afternoon,Yes,5,True
190,13214,1928,2457,2023-09-19,101,Morning,No,5,False
191,13450,825,2261,2024-12-22,55,Afternoon,No,5,False
192,21568,83,243,2024-10-09,18,Evening,Yes,3,False
193,1578,679,1513,2025-06-06,149,Afternoon,No,3,True
194,21253,947,203,2024-12-08,37,Morning,Yes,5,False
195,21174,1102,658,2025-05-27,14,Afternoon,Yes,4,False
196,8703,1443,61,2024-08-26,15,Afternoon,No,4,False
197,14819,328,2340,2024-02-24,35,Afternoon,No,4,False
198,10050,1824,2352,2024-04-17,137,Night,Yes,3,True
199,34107,849,240,2024-11-15,68,Afternoon,Yes,4,False
200,642,1240,1098,2025-02-14,44,Morning,No,5,False
201,16882,1817,1115,2024-06-06,149,Evening,Yes,4,True
202,17286,1197,2419,2025-02-22,13,Afternoon,No,4,False
203,11926,1151,2229,2024-03-08,75,Evening,Yes,4,True
204,4939,1236,276,2025-03-08,120,Afternoon,No,3,True
205,38492,1366,1945,2024-12-17,175,Evening,No,1,True
206,24974,548,2639,2025-03-18,102,Evening,No,3,False
207,30991,1072,984,2023-10-24,69,Night,No,3,False
208,8200,1056,1970,2025-04-12,28,Morning,No,2,False
209,17349,1878,2837,2023-08-24,97,Morning,Yes,2,False
210,2355,618,1341,2023-09-30,158,Night,Yes,3,True
211,4428,1746,1910,2024-11-08,168,Night,Yes,2,True
212,36667,1169,1773,2025-05-15,43,Evening,Yes,3,False
213,6364,1010,592,2024-05-20,162,Evening,No,4,True
214,11277,307,295,2024-08-27,99,Night,Yes,4,False
215,23573,1800,1285,2024-05-04,91,Evening,Yes,5,True
216,2106,1876,1687,2025-05-12,74,Morning,No,5,False
217,26925,1956,1733,2024-01-10,87,Evening,No,2,False
218,32892,1375,2523,2023-08-18,113,Night,Yes,2,False
219,15731,1058,1035,2024-12-11,13,Afternoon,No,2,False
220,28267,398,1318,2024-05-15,37,Night,No,2,False
221,29790,1197,1595,2024-03-06,88,Evening,No,4,False
222,21737,1136,1967,2023-08-16,59,Morning,No,1,False
223,14990,1475,1987,2024-10-31,40,Night,No,5,False
224,26860,956,2650,2025-04-22,36,Evening,No,2,False
225,14271,1864,2698,2024-08-04,60,Evening,No,3,True
226,1093,1248,1538,2023-09-23,25,Afternoon,Yes,2,False
227,17460,1736,1538,2023-11-19,99,Night,Yes,4,True
228,29811,152,715,2024-02-23,8,Night,Yes,3,False
229,17827,28,233,2025-03-17,91,Night,No,2,False
230,32923,438,348,2024-01-16,156,Night,No,2,True
231,36827,1805,624,2024-01-19,57,Afternoon,Yes,1,False
232,16245,1662,2643,2024-08-19,89,Night,No,3,False
233,38310,510,1983,2024-08-30,36,Afternoon,Yes,4,False
234,29149,1514,646,2025-06-14,129,Morning,No,3,True
235,10201,432,341,2024-05-24,15,Afternoon,Yes,4,False
236,30335,1093,2662,2023-11-22,33,Afternoon,No,1,False
237,23911,1971,2175,2023-07-05,14,Evening,Yes,3,False
238,31445,296,390,2023-06-29,144,Afternoon,No,1,False
239,13378,293,2730,2024-05-05,129,Afternoon,No,5,True
240,28919,1887,2672,2024-04-22,91,Evening,Yes,3,False
241,38504,1862,1387,2024-09-29,162,Morning,Yes,4,True
242,26210,1577,2475,2025-05-19,86,Afternoon,Yes,5,True
243,1266,1399,145,2024-05-25,87,Night,No,5,False
244,11033,898,865,2025-06-07,25,Morning,Yes,1,False
245,6940,756,205,2023-09-15,87,Afternoon,No,4,False
246,17243,1292,1768,2025-05-03,12,Morning,Yes,5,False
247,32856,90,2781,2024-06-24,29,Night,No,1,False
248,30057,1783,2968,2025-06-15,84,Night,Yes,4,False
249,16913,1451,2812,2023-12-05,133,Afternoon,No,4,True
250,34060,1682,693,2024-11-21,17,Morning,Yes,5,False
251,10436,660,1751,2023-10-20,127,Night,No,5,True
252,34510,1332,15,2025-05-15,98,Evening,No,4,False
253,23774,872,1218,2023-11-02,150,Afternoon,Yes,5,False
254,17991,1822,2916,2025-03-28,127,Evening,Yes,5,False
255,10908,556,762,2024-11-26,64,Night,No,4,False
256,33839,650,1404,2024-10-25,71,Evening,No,4,True
257,16241,1189,2277,2024-11-05,116,Evening,Yes,3,True
258,9197,190,2105,2024-02-13,142,Morning,Yes,2,True
259,19382,285,2739,2023-09-05,146,Afternoon,No,1,True
260,12871,9,2469,2025-02-15,73,Evening,Yes,3,True
261,28535,168,1917,2024-12-25,58,Night,Yes,4,False
262,30387,1857,2848,2024-01-23,60,Night,No,4,False
263,3886,601,73,2025-03-22,57,Morning,No,1,False
264,28360,1863,656,2023-09-25,126,Night,No,1,False
265,859,1895,280,2025-05-15,118,Night,No,4,False
266,23245,176,672,2025-03-08,73,Morning,Yes,3,False
267,8213,270,277,2024-06-20,68,Night,Yes,3,False
268,33599,646,608,2024-01-08,136,Morning,No,2,True
269,4536,370,101,2024-11-21,98,Morning,Yes,2,False
270,1058,358,1337,2024-05-03,176,Evening,No,2,True
271,21529,692,1900,2023-10-20,59,Morning,No,3,False
272,17101,1900,463,2023-11-12,33,Night,No,3,False
273,33914,71,1280,2025-06-11,179,Night,No,4,True
274,35974,1964,2157,2025-03-02,23,Morning,Yes,5,False
275,28029,1485,716,2024-11-20,41,Night,Yes,2,False
276,28597,1951,921,2025-03-09,70,Night,Yes,4,False
277,6068,157,1161,2024-12-15,87,Morning,Yes,5,False
278,16438,1358,2526,2023-11-04,108,Afternoon,Yes,2,False
279,31399,1650,2167,2023-08-29,60,Night,Yes,4,False
280,17472,643,2921,2024-11-30,120,Morning,Yes,4,False
281,25101,333,97,2024-03-12,111,Afternoon,Yes,3,False
282,26608,460,1082,2024-08-30,32,Evening,No,3,False
283,6898,984,2921,2024-02-12,120,Night,Yes,2,True
284,12978,103,1733,2025-02-11,130,Afternoon,No,1,False
285,17350,16,1929,2025-03-05,123,Afternoon,No,4,False
286,35186,520,10,2024-10-31,148,Evening,No,3,True
287,24404,167,1752,2024-03-09,177,Night,No,2,True
288,226,1392,2696,2023-08-21,80,Evening,Yes,5,False
289,8870,1127,2568,2025-02-24,97,Evening,Yes,5,False
290,27077,706,976,2025-03-23,141,Afternoon,Yes,5,False
291,10330,956,2409,2024-01-03,93,Evening,No,3,True
292,25676,146,1959,2023-09-19,102,Afternoon,Yes,3,False
293,33208,1851,1970,2023-06-26,146,Morning,Yes,2,True
294,6629,1157,2760,2023-08-20,141,Afternoon,No,2,True
295,27897,1239,218,2024-08-20,43,Morning,No,5,False
296,17542,724,2188,2025-05-11,63,Afternoon,No,4,True
297,26539,1157,2962,2023-07-02,59,Night,No,5,False
298,21096,1228,1664,2024-12-26,20,Afternoon,No,3,False
299,30838,837,2360,2024-12-23,52,Morning,No,2,False
300,16572,904,1044,2025-05-30,48,Night,Yes,1,False
301,6678,1929,467,2024-09-30,95,Afternoon,No,1,False
302,1728,140,119,2024-06-13,57,Evening,No,2,False
303,34584,845,2674,2023-06-27,128,Night,Yes,3,True
304,19719,1221,458,2023-12-11,41,Night,No,4,False
305,30847,1973,893,2025-02-07,139,Evening,Yes,2,True
306,5106,453,1821,2023-07-21,129,Afternoon,Yes,4,True
307,14392,11,799,2023-12-05,158,Afternoon,No,1,True
308,30643,443,1991,2024-08-10,60,Evening,Yes,5,False
309,24413,1987,741,2025-01-12,73,Morning,No,2,False
310,17211,653,458,2025-04-30,84,Morning,No,5,False
311,9717,1972,2696,2024-11-30,94,Evening,Yes,3,False
312,33083,833,513,2023-12-27,66,Evening,Yes,5,False
313,3238,1065,1444,2023-12-18,180,Afternoon,No,4,True
314,6162,1873,1210,2025-04-10,10,Morning,No,3,False
315,31138,1982,1199,2023-06-28,64,Evening,Yes,4,False
316,7401,445,1906,2024-06-21,121,Afternoon,Yes,3,True
317,6241,1931,910,2024-08-29,85,Evening,No,3,True
318,26553,1457,1482,2023-08-01,115,Night,No,5,True
319,13802,1314,2134,2024-10-04,119,Night,Yes,3,False
320,2619,971,148,2025-01-11,116,Morning,Yes,4,False
321,35867,633,649,2023-10-25,121,Night,Yes,5,True
322,43,1955,2656,2025-06-15,169,Afternoon,Yes,4,True
323,10049,467,1529,2024-06-10,160,Night,No,4,True
324,22597,436,1170,2024-12-21,58,Night,Yes,5,False
325,19027,1377,712,2025-01-10,149,Morning,Yes,4,True
326,28506,1879,2558,2025-05-18,153,Morning,Yes,5,True
327,8503,815,7,2024-08-23,15,Evening,Yes,3,False
328,3129,1991,1701,2024-06-08,16,Afternoon,Yes,5,False
329,16689,1646,1807,2023-12-01,50,Afternoon,Yes,1,False
330,26323,1307,1748,2024-09-01,43,Night,Yes,4,False
331,1363,1808,2830,2023-12-30,149,Morning,Yes,1,True
332,8991,1255,1161,2024-10-23,110,Morning,No,2,True
333,9997,241,1884,2025-03-26,84,Morning,No,1,False
334,24130,18,758,2023-11-06,139,Evening,No,4,False
335,17141,1068,1121,2024-09-12,105,Morning,No,5,True
336,32255,414,1255,2024-09-12,11,Afternoon,Yes,2,False
337,2816,1633,2948,2024-08-17,63,Afternoon,Yes,4,False
338,13232,1547,693,2025-05-09,28,Afternoon,No,3,False
339,37507,1491,902,2024-09-30,10,Night,No,3,False
340,38525,1839,723,2024-02-08,31,Afternoon,No,1,False
341,8389,861,1944,2024-03-27,74,Afternoon,Yes,4,True
342,32828,541,891,2023-09-17,148,Afternoon,No,1,True
343,30300,842,1043,2025-02-25,125,Morning,No,1,True
344,21399,793,2925,2024-05-23,120,Morning,No,2,False
345,20652,540,2656,2025-04-29,25,Morning,Yes,1,False
346,20711,284,2873,2024-04-19,75,Afternoon,No,4,False
347,23114,1430,1067,2024-04-02,124,Evening,Yes,4,True
348,8676,1936,1432,2023-09-19,143,Afternoon,Yes,1,True
349,29196,1502,1268,2024-12-28,130,Morning,Yes,2,True
350,28560,762,1396,2024-01-08,42,Afternoon,Yes,5,False
351,2077,241,1049,2024-03-25,119,Night,Yes,4,True
352,30243,1883,2993,2024-12-11,149,Morning,No,3,True
353,31531,1554,316,2023-11-06,102,Morning,Yes,4,False
354,7430,574,1889,2024-11-25,159,Evening,No,3,True
355,30033,89,1838,2024-02-29,157,Morning,Yes,4,True
356,993,763,1929,2025-05-16,96,Morning,Yes,4,True
357,26026,1716,776,2024-03-19,136,Morning,Yes,3,False
358,498,1237,2815,2024-06-23,114,Afternoon,Yes,4,False
359,23928,1429,1306,2025-01-25,94,Afternoon,Yes,4,True
360,8723,1298,2903,2025-02-14,89,Night,No,2,False
361,14443,1187,15,2025-06-08,86,Afternoon,Yes,2,False
362,35810,840,931,2025-05-20,20,Afternoon,No,5,False
363,26776,242,2975,2024-02-05,89,Morning,Yes,3,False
364,10366,1720,235,2024-08-02,128,Evening,Yes,4,True
365,26676,768,1126,2024-05-18,41,Evening,Yes,1,False
366,13633,74,1289,2023-10-05,139,Evening,Yes,5,True
367,21851,1474,77,2025-05-08,72,Morning,No,2,False
368,20488,1076,1901,2024-12-15,114,Evening,No,5,False
369,18579,1438,2143,2023-06-30,88,Afternoon,No,5,False
370,7877,571,1262,2023-09-05,92,Morning,Yes,5,False
371,32316,1558,1438,2024-07-07,142,Evening,Yes,1,True
372,32145,696,78,2024-03-25,55,Evening,No,3,False
373,6827,1595,38,2024-06-27,171,Afternoon,Yes,4,True
374,11541,930,1379,2024-01-09,128,Afternoon,Yes,3,True
375,10687,507,1084,2024-02-03,49,Night,Yes,4,False
376,21223,732,86,2025-06-12,70,Night,Yes,2,False
377,13949,200,19,2023-07-17,66,Morning,Yes,1,False
378,3026,1415,1680,2024-12-30,80,Afternoon,Yes,1,False
379,32608,1685,2169,2024-03-02,90,Evening,Yes,1,False
380,1080,1424,1231,2024-04-22,65,Evening,Yes,5,True
381,19276,1986,1067,2023-12-17,163,Afternoon,Yes,2,True
382,8,141,2396,2024-06-04,86,Afternoon,No,1,False
383,32778,424,1694,2024-06-08,111,Afternoon,No,4,False
384,13965,386,1560,2024-09-24,75,Evening,Yes,1,True
385,34547,974,2115,2025-05-06,104,Evening,No,5,False
386,12978,550,1175,2024-08-02,8,Afternoon,Yes,3,False
387,8749,299,841,2023-11-19,8,Morning,No,1,False
388,9427,1803,907,2025-03-11,147,Morning,Yes,5,True
389,19753,1577,1608,2024-07-24,136,Evening,No,4,True
390,39860,1393,2909,2024-08-06,10,Evening,No,5,False
391,8574,1052,426,2025-03-17,173,Afternoon,No,2,True
392,201,1592,121,2024-12-28,162,Morning,Yes,5,True
393,16925,725,1251,2023-11-04,59,Evening,No,1,False
394,11765,1121,2506,2024-04-03,179,Evening,Yes,4,True
395,28481,888,2315,2024-05-17,75,Morning,Yes,4,True
396,1023,678,85,2025-02-19,108,Morning,Yes,3,True
397,7202,1872,2218,2024-01-14,70,Night,No,1,False
398,39427,1144,1601,2023-08-14,170,Morning,No,3,True
399,12731,1658,121,2024-03-11,25,Night,No,4,False
400,8279,1530,1588,2024-02-14,149,Night,Yes,2,True
401,9447,1153,2923,2023-09-08,40,Afternoon,Yes,1,False
402,12241,1741,788,2025-04-16,155,Night,Yes,3,True
403,9963,1265,1817,2025-02-17,172,Evening,No,2,True
404,24685,1584,2791,2025-05-13,27,Night,Yes,1,False
405,16119,875,1106,2025-06-19,32,Morning,Yes,5,False
406,533,285,2464,2024-02-23,158,Night,Yes,3,True
407,31425,1517,2501,2023-12-27,9,Morning,Yes,1,False
408,26680,358,562,2024-10-01,62,Morning,No,1,False
409,6326,1458,507,2024-11-18,65,Morning,Yes,5,False
410,15730,118,965,2023-11-14,175,Morning,No,4,True
411,13002,300,412,2024-09-30,110,Night,No,2,False
412,7982,833,1211,2024-05-27,84,Afternoon,Yes,2,True
413,28735,1849,2139,2023-06-30,148,Evening,No,1,True
414,18314,1835,400,2023-06-26,68,Night,No,3,False
415,21929,1415,2806,2023-09-10,59,Night,Yes,1,False
416,13778,1839,2013,2023-09-03,45,Afternoon,No,3,False
417,24355,463,1911,2025-04-21,55,Evening,Yes,2,False
418,17683,1184,36,2024-11-20,69,Morning,Yes,2,False
419,11382,196,932,2023-12-06,12,Night,Yes,2,False
420,38569,893,661,2023-09-25,29,Morning,Yes,1,False
421,39314,1352,2907,2024-10-15,11,Morning,Yes,1,False
422,19335,135,2188,2024-01-26,7,Evening,Yes,4,False
423,8884,1524,134,2024-11-27,100,Night,No,1,True
424,38073,260,571,2024-06-03,12,Evening,Yes,2,False
425,1452,149,1438,2023-10-05,52,Morning,No,4,False
426,35482,625,956,2024-12-27,132,Afternoon,No,3,False
427,25027,1471,159,2025-02-21,47,Afternoon,Yes,3,False
428,13253,456,2067,2024-08-04,68,Night,No,2,True
429,4537,620,790,2025-04-26,101,Night,No,5,False
430,27601,734,2238,2025-03-30,130,Evening,No,4,True
431,17521,844,730,2025-05-08,100,Night,No,4,False
432,7796,1724,211,2024-03-25,161,Morning,No,5,True
433,38008,941,2135,2024-12-31,140,Afternoon,Yes,2,True
434,19516,1428,1874,2023-07-31,144,Afternoon,Yes,5,True
435,5914,154,760,2024-10-11,30,Morning,No,2,False
436,29222,1314,2037,2024-05-25,52,Morning,No,2,False
437,10816,1830,2868,2024-04-04,61,Morning,Yes,1,True
438,16254,1968,322,2023-09-28,148,Morning,No,5,True
439,7469,1358,567,2024-11-05,85,Afternoon,No,4,False
440,558,1944,2296,2025-06-03,76,Night,Yes,2,False
441,14798,308,2404,2024-01-14,61,Afternoon,Yes,5,False
442,10719,806,1467,2024-12-21,68,Night,Yes,2,False
443,28251,457,2613,2024-10-28,54,Night,No,2,False
444,13921,1020,1713,2024-01-13,108,Night,Yes,3,False
445,12538,1949,2873,2024-11-17,7,Afternoon,No,4,False
446,3047,1130,366,2023-11-19,70,Morning,No,3,False
447,5644,1731,604,2024-08-02,25,Night,No,2,False
448,24495,1368,1916,2025-03-22,134,Evening,Yes,5,True
449,7207,41,1969,2023-09-08,44,Morning,No,1,False
450,24221,860,2565,2023-11-20,111,Night,Yes,3,False
451,8690,564,300,2024-04-19,140,Evening,Yes,2,True
452,24635,1196,2479,2024-06-30,138,Afternoon,Yes,5,True
453,15727,1111,725,2024-10-30,16,Afternoon,No,5,False
454,21931,430,2773,2023-08-30,126,Morning,Yes,3,False
455,27777,651,2058,2024-01-19,70,Afternoon,No,5,False
456,33436,475,143,2024-05-13,55,Evening,No,1,False
